_seq,step,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,response_length_non_aborted/mean,response_length_non_aborted/max,response_length_non_aborted/min,response_length_non_aborted/clip_ratio,response/aborted_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/adv,timing_s/update_actor,timing_s/dump_rollout_generations,timing_s/step,timing_s/stop_profile,timing_per_token_ms/update_actor,timing_per_token_ms/adv,timing_per_token_ms/gen,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/save_checkpoint
1,1,3265.0,9663.0,6398.0,5425.0,6218.0,5825.75,0.17659562826156616,-0.00012541655451059341,0.003912655985914171,0.0002844419103382734,2.689328721316997e-05,1.697265625,0.03536400702666763,23.914787769317627,27.708984375,137.2482032775879,1e-06,1.0,0.0,6.765625,10.0,-5.5,6.765625,10.0,-5.5,-0.056816525757312775,0.7071066498756409,-0.7071066498756409,-0.056816525757312775,0.7071066498756409,-0.7071066498756409,626.9375,1735.0,348.0,0.0,626.9375,1735.0,348.0,0.0,0.0,829.5,1968.0,272.0,0.0,0.0003081914037466049,16.927480697631836,29.773704528808594,10.057329177856445,0.125,37.11240213178098,65.23805318772793,8.713516311720014,0.0037289895117282867,54.48045691661537,0.09688812494277954,165.692259920761,5.0865113735198975e-05,1.1689580079091826,8.001093232047991e-05,1.8498854616579097,46606.0,165.692259920761,35.16006120494734,
2,2,3251.0,7115.0,3864.0,4625.0,5170.0,4905.0,0.20352116227149963,-4.8100948333740234e-05,0.00558406404525158,0.00011146868452271974,0.0,1.95703125,0.030929986081202582,24.080195426940918,27.708984375,137.73600673675537,1e-06,2.0,0.0,4.640625,9.0,-10.0,4.640625,9.0,-10.0,-0.10140369832515717,0.7071067094802856,-0.7071067094802856,-0.10140369832515717,0.7071067094802856,-0.7071067094802856,788.1875,2048.0,301.0,0.09375,788.1875,2048.0,301.0,0.09375,0.0,438.0625,663.0,284.0,0.0,6.389431655406952e-05,21.199466705322266,33.96943283081055,9.231037139892578,0.125,40.233524514362216,81.621023574844,6.643141347914934,0.009498421102762222,51.48919099755585,0.07141777127981186,180.07453002408147,5.1936134696006775e-05,1.3121608307226262,0.00024205966113053574,1.5951758192991126,39240.0,180.07453002408147,27.238721652329463,
3,3,3139.0,5224.0,2085.0,3895.0,4707.0,4159.0,0.18081828951835632,-1.1330004781484604e-05,0.006103442832682049,-0.00020413174854638783,0.0,2.42578125,0.026553236586274433,24.080195426940918,27.708984375,137.64617443084717,1e-06,3.0,0.0,5.53125,10.0,-10.0,5.53125,10.0,-10.0,-0.09276555478572845,0.7071067094802856,-0.7071067094802856,-0.09276555478572845,0.7071067094802856,-0.7071067094802856,656.25,2048.0,301.0,0.03125,656.25,2048.0,301.0,0.03125,0.0,383.5,683.0,299.0,0.0,5.8708712458610535e-05,18.764474868774414,32.62390899658203,9.648794174194336,0.125,39.04763577133417,76.83516946621239,6.444825246930122,0.005898503586649895,50.23865342512727,0.07153059728443623,172.65972538478673,6.637535989284515e-05,1.5099378884686003,0.0001772813052010668,1.8594112272063892,33272.0,172.65972538478673,24.087840929500604,
4,4,3179.0,5604.0,2425.0,3817.0,4844.0,4360.875,0.18461842834949493,7.514329627156258e-05,0.0030686501086165663,0.0002058747870563593,0.0,1.83984375,0.027499638918081343,24.080195426940918,27.708984375,137.92447662353516,1e-06,4.0,0.0,4.375,9.5,-10.0,4.375,9.5,-10.0,0.0014525811420753598,0.7071067094802856,-0.7071067094802856,0.0014525811420753598,0.7071067094802856,-0.7071067094802856,684.53125,2048.0,311.0,0.03125,684.53125,2048.0,311.0,0.03125,0.0,405.6875,1113.0,279.0,0.0,6.928481161594391e-05,19.449146270751953,33.03327560424805,9.157458305358887,0.125,39.20682872645557,63.60466716438532,6.518677512183785,0.008533352985978127,51.08509901724756,0.07228971272706985,160.50345403887331,6.203353404998779e-05,1.4643018607861829,0.0002445997932174772,1.7898575086261388,34887.0,160.50345403887331,27.16997603642731,
5,5,3698.0,6059.0,2361.0,4785.0,5249.0,4927.25,0.20641927421092987,5.5145006626844406e-05,0.004995932547899429,-0.0002459487574810737,0.0,2.17578125,0.03153983760164322,24.332934379577637,27.787109375,137.9717321395874,1e-06,5.0,0.0,5.0625,10.0,-10.0,5.0625,10.0,-10.0,0.030420873314142227,0.7071067094802856,-0.7071067094802856,0.030420873314142227,0.7071067094802856,-0.7071067094802856,818.625,2048.0,298.0,0.09375,818.625,2048.0,298.0,0.09375,0.0,413.1875,590.0,310.0,0.0,7.156841456890106e-05,22.199447631835938,33.61273193359375,10.537032127380371,0.125,39.96388582699001,81.99733764305711,6.4988311771303415,0.008829323574900627,50.6848920583725,0.07029787823557854,179.233965722844,0.00012812577188014984,1.285831144613438,0.00022399217552642516,1.525572065467629,39418.0,179.233965722844,27.490604139280084,109.1235409155488
6,6,3109.0,7522.0,4413.0,4256.0,5122.0,4826.75,0.20506364107131958,-2.6848632842302322e-05,0.005412796774180606,-0.00020423582364514914,0.0,2.09765625,0.03084893969788391,24.332934379577637,27.787109375,142.10965824127197,1e-06,6.0,0.0,6.015625,9.0,-10.0,6.015625,9.0,-10.0,-0.1426694691181183,0.7071066498756409,-0.7071066498756409,-0.1426694691181183,0.7071066498756409,-0.7071066498756409,817.9375,2048.0,340.0,0.125,817.9375,2048.0,340.0,0.125,0.0,388.75,526.0,240.0,0.0,6.981194019317627e-05,22.60369873046875,34.38528060913086,10.749893188476562,0.125,41.410531640052795,81.20486315339804,6.588861104100943,0.004013977944850922,50.78953084535897,0.08983275294303894,180.09606442414224,5.5851414799690247e-05,1.3153138976888943,0.00010395136336175795,1.582124690152548,38614.0,180.09606442414224,26.80097433241281,
7,7,3624.0,6588.0,2964.0,4436.0,5052.0,4746.125,0.1909300982952118,0.00016946345567703247,0.004847661963140126,-7.560054018540541e-05,0.0,2.2265625,0.030083742507696513,24.332934379577637,27.787109375,141.43035364151,1e-06,7.0,0.0,4.078125,10.0,-10.0,4.078125,10.0,-10.0,-0.0896012932062149,0.7071067094802856,-0.7071067094802856,-0.0896012932062149,0.7071067094802856,-0.7071067094802856,740.09375,2048.0,336.0,0.09375,740.09375,2048.0,336.0,0.09375,0.0,446.4375,1028.0,290.0,0.0,7.160194218158722e-05,19.676776885986328,34.52678680419922,9.100335121154785,0.125,40.92143361456692,74.1726493164897,6.566456463187933,0.007483264431357384,51.062143199145794,0.08132413402199745,172.81656236574054,4.9870461225509644e-05,1.3448377149555109,0.00019708879431529363,1.7278821777041304,37969.0,172.81656236574054,27.46336887523276,
8,8,3528.0,7701.0,4173.0,4645.0,5456.0,5076.5,0.2096274197101593,0.00011997530236840248,0.0047075685288291425,-0.000337176255641225,0.0,2.01953125,0.03231138792526925,24.332934379577637,27.787109375,141.36052703857422,1e-06,8.0,0.0,3.75,9.0,-10.0,3.75,9.0,-10.0,-0.010782401077449322,0.7071067690849304,-0.7071067690849304,-0.010782401077449322,0.7071067690849304,-0.7071067690849304,819.75,2048.0,348.0,0.09375,819.75,2048.0,348.0,0.09375,0.0,449.375,951.0,292.0,0.0,7.401220500469208e-05,21.535085678100586,34.52106475830078,11.380321502685547,0.125,40.850044103339314,69.2705894280225,6.586481157690287,0.00792367197573185,51.092765839770436,0.06373536214232445,167.88765686005354,5.608610808849335e-05,1.258070664822477,0.00019510666738234634,1.557259991740596,40612.0,167.88765686005354,30.237481986133314,
9,9,2863.0,5814.0,2951.0,4093.0,4992.0,4722.75,0.20846590399742126,6.220117211341858e-05,0.005153912326932186,0.0002953860815750886,0.0,2.18359375,0.03000617042083712,24.332934379577637,27.787109375,141.43262100219727,1e-06,9.0,0.0,4.53125,10.0,-10.0,4.53125,10.0,-10.0,-0.028548840433359146,0.7071067094802856,-0.7071067094802856,-0.028548840433359146,0.7071067094802856,-0.7071067094802856,801.875,2048.0,267.0,0.15625,801.875,2048.0,267.0,0.15625,0.0,378.8125,576.0,287.0,0.0,6.091222167015076e-05,24.478559494018555,33.69804000854492,7.423994541168213,0.125,39.98592291213572,72.27277554757893,6.572886481881142,0.006738103926181793,51.168353302404284,0.07466535829007626,170.09303444437683,5.7753175497055054e-05,1.3543050474406935,0.0001783416422153881,1.5582978531619534,37782.0,170.09303444437683,27.765687263016144,
10,10,3453.0,6322.0,2869.0,4430.0,5094.0,4714.625,0.20088835060596466,0.0002145678736269474,0.0054923720490478445,3.607728149290779e-05,0.0,2.4609375,0.02988482597960477,24.332934379577637,27.787109375,141.29278182983398,1e-06,10.0,0.0,5.0,10.0,-5.5,5.0,10.0,-5.5,-0.09155457466840744,0.7071067094802856,-0.7071067094802856,-0.09155457466840744,0.7071067094802856,-0.7071067094802856,758.09375,2048.0,369.0,0.09375,758.09375,2048.0,369.0,0.09375,0.0,420.5625,646.0,289.0,0.0,6.638094782829285e-05,21.383739471435547,33.82133483886719,8.706635475158691,0.125,40.79660737141967,74.11800778657198,6.53760402277112,0.005362935364246368,50.98481593839824,0.07078992761671543,172.51996590942144,0.00013043731451034546,1.3517728328975858,0.00014218881046335522,1.6817101847322506,37717.0,172.51996590942144,27.327996357681467,77.54842040874064
